source_file,avg DF0,avg DDF0,avg Jitter,avg Shimmer,avg apq,avg ppq,avg logE,std DF0,std DDF0,std Jitter,std Shimmer,std apq,std ppq,std logE,skewness DF0,skewness DDF0,skewness Jitter,skewness Shimmer,skewness apq,skewness ppq,skewness logE,kurtosis DF0,kurtosis DDF0,kurtosis Jitter,kurtosis Shimmer,kurtosis apq,kurtosis ppq,kurtosis logE
AA09_S132,-0.5960069298744202,-0.1278688907623291,4.173254291625647,11.046396772840444,17.42759653554469,4.0552318201521445,-11.565585472401809,6.036716461181641,8.440402030944824,4.052847737336065,13.250108534086676,12.470955828390146,3.3372367765902844,3.3935806473702845,1.0584422648595762,-0.0156407914602499,1.9520804197359929,1.2617709690981094,1.0267797277713264,0.8793689329713053,-0.2363374993914823,2.6332638601700067,1.1979921265414122,4.075921072786944,0.7312564753816302,1.02124240805726,-0.2569472762139102,-0.9259492876365965
AA09_S125,-1.501430630683899,-0.0395920798182487,3.868469409315155,7.487928275921289,8.915471566233515,3.8959117640369945,-9.628246698118852,8.454358100891113,12.751039505004885,4.768871835633141,15.240078688560391,11.63996734906735,4.466163906239284,3.579262293030669,-0.2527015076260905,-1.3220483631020985,1.864800793723773,2.834146289796838,3.541057741833318,2.0854134152205086,-0.5120582669034006,2.6367754068968408,5.333053371426448,2.416176828318516,7.325538782236133,12.698528040040165,3.8378475129916767,-0.4218581191074748
AA05_S271,-0.5255318880081177,0.2472424954175949,4.075132526179611,12.215187862328593,32.490530292747614,3.876891007297542,-14.85552994091475,23.373441696166992,36.286659240722656,5.597521528338921,13.692177594184754,22.288272028366837,4.687100384035541,5.957304807056485,1.9494161812858324,-0.9247403094510044,3.703962214600831,1.535338578677896,0.8111231077994434,2.7035114256859165,-1.0860339615833134,12.741524561735083,10.441705894710212,19.474001846335547,2.5959402588294287,-0.1542703008831956,9.208338269798553,1.204189114098333
AA09_S151,-0.8279963135719299,0.1497072428464889,4.1553488361068975,12.015128964668763,22.638812181725896,6.623955764986933,-11.96384640989773,23.28006935119629,32.813270568847656,8.733133691231412,17.1251319630114,21.61028657811661,8.296245777110784,5.169716664060589,2.219668299424924,-0.2898900938285511,5.242487584463202,2.1991285595722863,1.1347301007967583,2.269739824808604,-1.441866169205814,26.449587360383735,12.213511583450408,29.85886007552105,4.992422362315471,0.3663027604469882,5.303355037081779,1.927696901148148
AA05_S81,-0.1100077107548713,-0.1313972026109695,4.16659032763455,6.818568127341239,31.700932856492447,4.277542467556523,-20.08836002901856,24.595272064208984,38.11140441894531,5.870335964662599,9.54521808882845,22.196581298743705,5.167670170056408,6.659046050370265,0.6809326574847897,-0.0183720433412232,3.304136391745065,2.6642261057004384,0.5457651037767677,2.8251043848921547,-0.8536264375461111,9.798980301180864,7.833961884520399,13.411844715779427,8.897926977771348,-0.6560612047215013,10.115888171539218,0.2333681800513427
AA10_S12,-0.0295970570296049,-0.014971425756812,3.1462448080019487,6.88879558048992,23.68590944966984,3.796638786948543,-18.76364645450485,7.764501571655273,11.46733856201172,4.015046585306612,10.41295574939374,17.790418344486728,3.980333076517025,5.072097199587284,1.676595569633498,-0.3143054069534954,2.677412554942501,2.7331661492564265,0.9367848381921786,1.627042705612627,0.0274948720029778,5.894893280861778,5.128838314279138,7.745900573578275,8.776916662084107,0.4624356607564079,2.1226782000846125,-1.093661146034257
AA08_S175,-0.7185718417167664,-0.0687277615070343,4.881363496953864,8.59861508973094,34.48876239576368,4.171559337929543,-16.965767209062744,26.581865310668945,39.173336029052734,5.940413720395914,12.858797063431382,25.797620932300173,4.699517570020661,8.71837074676643,-0.6604808378381473,-0.2871931413476721,2.4101272594571053,2.257298368127368,0.3149654270655806,2.2373590295974046,-0.9605878182053272,4.646199584955394,3.986031946973916,6.3593865726773,6.120654874693882,-1.0263478014600251,6.077553229878461,-0.1789881818093968
AA05_S269,0.0420819632709026,0.421712726354599,3.796778912171847,6.30317416975934,31.220841064218195,3.693120780252716,-19.793436529324925,25.14940071105957,39.233184814453125,6.165102544521843,7.735725318148526,21.931976350625764,5.544520134107842,6.613447416391783,-0.1674252349122797,-0.4015453066177914,4.706337989949818,2.800269241100102,0.6441142969795097,3.636938842126171,-0.8691610092534071,20.417601915290064,11.099964119406838,27.83908699217303,11.999814649523184,-0.3867142346998249,16.401837922331076,1.3822408590468769
AA09_S73,0.2455044686794281,0.0601495988667011,3.947044345525672,13.56288541332147,27.176030450164603,6.6592661467540095,-11.386576753545414,20.02642822265625,28.490497589111328,6.88406023581728,19.608492335410983,23.600034722296297,6.9827962777561305,7.174839411783571,-0.4282787010480612,0.0810959405064036,5.206708840369238,1.7482865696957153,0.9356148107974476,1.9033144541884093,-1.9284400055280195,24.056928520924306,10.45591110213958,31.077601889482388,2.355422667247919,-0.3515845436274802,3.3984839360288266,3.826137837243083
AA05_S195,-0.1111699864268302,0.4070902466773987,5.300710145738453,8.448270417201387,27.2014935730925,5.123779010045184,-16.67204577856018,31.743127822875977,50.38636779785156,7.634598638581744,10.682547140488753,20.81073842986118,7.196904778707764,6.940905425866929,0.2673455279506125,-1.0778662362339178,2.828018797822572,2.6211606332137936,0.925945435872016,2.438132460419508,-0.7447279442731017,7.410280354848378,4.756860692456897,9.06760538396064,10.127487902176016,-0.0545489476419733,6.06674001861894,0.3196391656741677
