source_file,global avg var GCI,global avg avg NAQ,global avg std NAQ,global avg avg QOQ,global avg std QOQ,global avg avg H1H2,global avg std H1H2,global avg avg HRF,global avg std HRF,global std var GCI,global std avg NAQ,global std std NAQ,global std avg QOQ,global std std QOQ,global std avg H1H2,global std std H1H2,global std avg HRF,global std std HRF,global skewness var GCI,global skewness avg NAQ,global skewness std NAQ,global skewness avg QOQ,global skewness std QOQ,global skewness avg H1H2,global skewness std H1H2,global skewness avg HRF,global skewness std HRF,global kurtosis var GCI,global kurtosis avg NAQ,global kurtosis std NAQ,global kurtosis avg QOQ,global kurtosis std QOQ,global kurtosis avg H1H2,global kurtosis std H1H2,global kurtosis avg HRF,global kurtosis std HRF
AA05_S159,0.0034888583708978,0.0202645691732305,0.0068966981071976,0.5607692286600195,0.2946665602665794,4.9360484900554455,9.6386659115859,-248.22557553628715,1508.9886954379756,0.0064172060454067,0.0038103211910525,0.0019478836233174,0.1830363556010064,0.490699227119124,4.043424964715412,2.093644846849661,464.4535776035949,2107.1864208324137,2.2671005579968715,0.1800341989450985,0.2897534071201466,4.043090541505313,4.599575282013161,-0.0337574673478832,-0.3784558332257288,-1.8874952095873128,3.001792199991573,5.178351773638299,-0.8265785767282243,-0.1576729570541521,20.22462247191782,24.27461281390524,-0.7999996139774201,-0.646924405302693,7.671677593629097,11.563037496506457
AA05_S48,0.0032310212365687,0.0219902986669082,0.0066677305761163,0.4901219697160535,0.1558808640892058,2.6763606569210463,9.930127375918266,193.28727704683365,2886.664836713032,0.004864811627719,0.0033055308010952,0.0018611856559098,0.0652443926623831,0.1506134806018662,4.585982397741519,2.3880866428660235,762.5654452082416,3531.148824046856,1.5411405945568808,0.123434527521577,-0.18166278300151,-0.1362173803486319,4.401880907718093,-0.1111873042564961,-0.207979761444812,3.508411041811794,3.708515762952153,1.1996421139246172,-0.9154793971226912,-1.074633810081526,1.7218142357743087,21.454570639049344,-0.284200855214618,-0.5903685441610134,16.530092633119004,15.72647195928031
AA08_S88,0.0030161486944079,0.0178836664529586,0.0071412605563294,0.5175755489542615,0.2892173124457833,7.693175981104038,9.628189748792698,-108.31392075346376,4479.012726758745,0.0056960705721255,0.0045058363304143,0.0016916921161641,0.1912238368085567,0.5523734027468821,5.487501402233652,2.256734641650415,1042.4361485442184,6084.563648410829,2.916597214397803,-0.5901412905976949,0.2122975817188888,3.17949157199432,5.1668068415431945,0.15483824032442,-0.0111808576093016,-1.6277274097154224,2.003050608731571,8.510412708670001,-0.0832467021972456,-0.7715224302272641,17.044445884173705,30.153101223693795,-1.1638681980456096,-0.9020229086652352,1.846307464688548,3.007932797851176
AA05_S327,0.0055729145859974,0.0195113217507675,0.0066357648932712,0.5161071800304476,0.2589912307050461,3.5631486628912743,8.563130321337475,190.33052103251828,2925.740861610331,0.0084845729356023,0.0051584907180446,0.0014472893495445,0.1173981015389879,0.3577349012273542,4.812245624261065,1.9497457674490604,897.4202390167825,4033.96133883184,1.4283806031388695,-0.789764318662004,0.2790156004550421,1.4307697435979898,3.4593116124072867,0.3091710915247511,0.4529386451380289,0.3877116347682746,2.9232363070398035,0.5321206099196458,0.6960000112033047,-0.5033035902026954,4.489167782759119,11.512294638570086,-0.8874882118623253,-0.5375476885806867,1.8618260040259864,8.34435464420483
AA08_S146,0.0020100794337031,0.0143517753338046,0.0056045754458831,0.4306330123460315,0.1322580877523264,9.684116309826392,9.916318430754218,-91.99164015642116,731.8511131312823,0.0023142171343862,0.0036855973214811,0.0010176682223128,0.0802251875526456,0.0304403663481881,6.257781860276922,0.9263814793396412,93.09644220318307,567.6097362588837,0.7483530764541128,-0.3384567219787451,0.0249339857486537,-0.3792868769114225,-0.6038705079614565,0.798796159558264,0.1186155576721057,0.9878916559241604,1.069973378763886,-1.4070125591841125,-1.346082346177802,-0.7668360868052346,-0.740361143855027,1.1508821518210537,-0.8280877026976023,-0.2700008544359202,1.0979145002986623,-0.0970423695958038
AA09_S58,0.0067941888745118,0.0084111483165986,0.0031371624035097,0.4366253255349335,0.203540386541031,10.00520085296051,8.244593849710526,-111.50844207743468,485.9629839675145,0.0130721252542309,0.0046123342549277,0.0015892399533768,0.2264565862866849,0.2119312015786303,5.915523121798632,3.136548973066029,304.4695559302056,826.4160249217291,2.07477564044441,-0.590496912386967,-0.9112185406664816,-0.5481385132886045,3.2641376769347006,0.0521582976140184,-0.6139365659680538,-1.7057698694341266,2.673383862235746,3.404336170623491,-0.7148292328229777,-0.2970296102259313,0.3121202183122364,12.287785476382371,-1.0585580067174385,-0.7724959769236897,2.5552404113693985,5.914960034529504
AA09_S75,0.0079018200702974,0.0042790120036298,0.0028243421401634,0.4215955375528881,0.3039373517846566,9.09669947076014,10.386698080951746,13.172131022803956,295.37077420717026,0.0135753263902624,0.0021863921610862,0.000954355414355,0.2397389785155088,0.296492660209411,3.8175622873848334,4.335183280532933,184.27984345665965,596.0131359476612,2.2484030210490524,-0.1412815316639846,-0.7184140566717658,0.9479083930135214,2.87232556225914,0.163754651294099,0.2891308552809762,1.7095226424447327,2.673402622689425,4.769437519025188,-0.9553163649790988,0.3829206048744855,1.32479135235923,7.54470632865341,-0.2852177253423638,0.0700941787848856,8.883722071273866,5.824924849129719
AA05_S75,0.0036499494533377,0.0207399451404335,0.0069821003211461,0.5181694941942038,0.2435147151437393,3.7018210792253887,8.812361347680568,-389.3476532135396,7446.166294323082,0.0077538480959906,0.0046524849350794,0.0014761032618016,0.1234493451176786,0.3894788540866094,4.489645766105468,2.1744351131182933,2254.9299285168904,13567.970652757282,2.52994861689257,-0.3687367231269162,0.2281901161631003,2.421478905056425,5.459390956813063,0.5686185572723719,-0.6901831273453816,-1.6393935003602265,2.900030235701435,5.601295547778655,-0.6207127605141358,-0.2605670678447249,11.369038659666964,31.66137782468632,0.0860987645086215,-0.1250529917882632,4.995306554155786,7.477558713441837
AA08_S174,0.0047966057086886,0.0147800872903373,0.0054070977230755,0.4863367591624956,0.269587758593506,9.340126835116555,8.484839149038459,-150.16920375645745,4307.127451841326,0.0084031410445113,0.0036426982686922,0.0013671545337801,0.1421506134583567,0.4369784737109348,3.95901925409373,2.226198965909339,1118.0354305234218,4678.772815547826,2.277583427219304,0.2470533014761721,0.1845534319491134,1.706717828607232,3.382378605632957,0.1392039740408384,-0.1430032819430779,0.2680413947414317,1.0487959345425826,4.924586581373456,-1.0350798522885676,-0.4799140986334502,3.243288842783061,10.152972017153544,-0.6401692994184907,-0.8400310341800452,1.5137817528900444,-0.4208679972762579
AA08_S14,0.0028972117751183,0.0174791081015504,0.0067642945680669,0.4803896171306051,0.1957812858862249,9.05239752211088,9.614561267563518,-95.29696833584576,9792.83519378763,0.0061490796727838,0.0049379600763979,0.0019873000768219,0.1159896396384958,0.2692282452746037,5.673441824613837,2.3550137989344564,3468.645394308009,20453.583094600348,4.318719957022953,0.7272239678127198,0.991301841975706,0.2695184227518841,6.43371192607804,0.4734566380488198,-0.1932599724550837,1.93916450171746,2.5347879267358,23.01696781584789,0.5108225270496498,0.7089325822689458,3.4693793222144933,43.03654817275633,-0.7648670169194207,-0.6626393393457333,7.573047689792229,5.6678829863797375
